Effective_Date|Receipt_Number|Balance_Type|Amount|Account
20250917|RCP001234567890|DEBIT|1250.750|ACC-BMO-001
20250917|RCP001234567891|CREDIT|2500.000|ACC-BMO-002
20250917|RCP001234567892|DEBIT|750.250|ACC-BMO-003
20250917|RCP001234567893||1000.000|ACC-BMO-004
20250917|RCP001234567894|CREDIT|3250.500|
20250917|RCP001234567895|DEBIT|500.000|ACC-BMO-005
20250917||CREDIT|1750.250|ACC-BMO-006
20250917|RCP001234567897|DEBIT|0.000|ACC-BMO-007
20250917|RCP001234567898|CREDIT|4500.750|ACC-BMO-008
20250917|RCP001234567899|DEBIT|825.125|ACC-BMO-009
